Model,Accuracy,ROC_AUC
Logistic Regression,0.8076650106458482,0.8468392363533028
Random Forest,0.7778566359119943,0.8227388979307139
RF SMOTE Balanced,0.7721788502484032,0.8278049032524736
XGBoost,0.7828246983676366,0.8183704048154176
Ensemble Model,0.8069552874378992,0.8442119403756232
